ad_id,reporting_start,reporting_end,capaign_id,b_capaign_id,age,gender,interest1,interest2,interest3,ipressions,clicks,spent,total_conversion,approved_conversion,gender2,CTR,CPC,CPA
708746,17-Aug-17,17-Aug-17,916,103916,30-34,M,15,17,17,7350,1,1.429999948,2,1,M,0.000136054,1.429999948,1.429999948
708749,17-Aug-17,17-Aug-17,916,103917,30-34,M,16,19,21,17861,2,1.820000023,2,0,M,0.000111976,0.910000012,0
708771,17-Aug-17,17-Aug-17,916,103920,30-34,M,20,25,22,693,0,0,1,0,M,0,0,0
708815,30-Aug-17,30-Aug-17,916,103928,30-34,M,28,32,32,4259,1,1.25,1,0,M,0.000234797,1.25,0
708818,17-Aug-17,17-Aug-17,916,103928,30-34,M,28,33,32,4133,1,1.289999962,1,1,M,0.000241955,1.289999962,1.289999962
708820,17-Aug-17,17-Aug-17,916,103929,30-34,M,29,30,30,1915,0,0,1,1,M,0,0,0
708889,17-Aug-17,17-Aug-17,916,103940,30-34,M,15,16,17,15615,3,4.769999981,1,0,M,0.000192123,1.589999994,0
708895,17-Aug-17,17-Aug-17,916,103941,30-34,M,16,20,18,10951,1,1.269999981,1,1,M,9.13E-05,1.269999981,1.269999981
708953,17-Aug-17,17-Aug-17,916,103951,30-34,M,27,31,31,2355,1,1.5,1,0,M,0.000424628,1.5,0
708958,30-Aug-17,30-Aug-17,916,103952,30-34,M,28,32,31,9502,3,3.159999967,1,0,M,0.000315723,1.053333322,0
708979,30-Aug-17,30-Aug-17,916,103955,30-34,M,31,37,34,1224,0,0,1,0,M,0,0,0
709023,29-Aug-17,29-Aug-17,916,103962,30-34,M,7,8,8,735,0,0,1,0,M,0,0,0
709038,29-Aug-17,29-Aug-17,916,103965,30-34,M,16,20,22,5117,0,0,1,0,M,0,0,0
709040,29-Aug-17,29-Aug-17,916,103965,30-34,M,16,19,21,5120,0,0,1,0,M,0,0,0
709059,30-Aug-17,30-Aug-17,916,103968,30-34,M,20,26,23,14669,7,10.28000021,1,1,M,0.000477197,1.468571459,10.28000021
709105,30-Aug-17,30-Aug-17,916,103976,30-34,M,28,30,32,1241,0,0,1,1,M,0,0,0
709115,30-Aug-17,30-Aug-17,916,103978,30-34,M,30,34,31,2305,1,0.569999993,1,0,M,0.000433839,0.569999993,0
709124,30-Aug-17,30-Aug-17,916,103979,30-34,M,31,34,33,1024,0,0,1,1,M,0,0,0
709179,30-Aug-17,30-Aug-17,916,103988,35-39,M,15,16,17,4627,1,1.690000057,1,0,M,0.000216123,1.690000057,0
709183,30-Aug-17,30-Aug-17,916,103989,35-39,M,16,20,22,21026,4,4.630000114,2,1,M,0.000190241,1.157500029,4.630000114
709320,17-Aug-17,17-Aug-17,916,104012,35-39,M,15,21,20,1422,0,0,1,1,M,0,0,0
709323,17-Aug-17,17-Aug-17,916,104012,35-39,M,15,17,19,7132,2,2.609999895,1,0,M,0.000280426,1.304999948,0
709326,18-Aug-17,18-Aug-17,916,104013,35-39,M,16,22,22,12190,2,3.049999952,1,0,M,0.000164069,1.524999976,0
709327,18-Aug-17,18-Aug-17,916,104013,35-39,M,16,22,20,12193,2,3.059999943,1,1,M,0.000164029,1.529999972,3.059999943
709328,18-Aug-17,18-Aug-17,916,104013,35-39,M,16,19,18,3332,0,0,1,1,M,0,0,0
709455,18-Aug-17,18-Aug-17,916,104034,35-39,M,7,12,10,559,0,0,1,0,M,0,0,0
709544,18-Aug-17,18-Aug-17,916,104049,35-39,M,29,33,32,7440,2,2.980000019,1,1,M,0.000268817,1.49000001,2.980000019
709614,19-Aug-17,19-Aug-17,916,104061,40-44,M,16,19,20,19113,4,5.5200001,1,0,M,0.000209282,1.380000025,0
709756,19-Aug-17,19-Aug-17,916,104085,40-44,M,16,21,21,10976,2,1.690000057,1,1,M,0.000182216,0.845000029,1.690000057
709761,18-Aug-17,18-Aug-17,916,104085,40-44,M,16,19,20,2861,0,0,1,0,M,0,0,0
709899,18-Aug-17,18-Aug-17,916,104108,40-44,M,15,18,20,1398,0,0,1,1,M,0,0,0
709901,18-Aug-17,18-Aug-17,916,104109,40-44,M,16,18,20,23817,7,8.470000148,1,1,M,0.000293908,1.210000021,8.470000148
710045,17-Aug-17,17-Aug-17,916,104133,45-49,M,16,22,17,47224,12,15.82000017,1,0,M,0.000254108,1.318333348,0
710088,17-Aug-17,17-Aug-17,916,104140,45-49,M,24,26,27,2283,1,1.470000029,1,0,M,0.00043802,1.470000029,0
710360,17-Aug-17,17-Aug-17,916,104185,45-49,M,21,26,24,2182,1,1.529999971,1,1,M,0.000458295,1.529999971,1.529999971
710477,17-Aug-17,17-Aug-17,916,104205,30-34,F,16,19,19,2654,0,0,1,1,F,0,0,0
710480,17-Aug-17,17-Aug-17,916,104205,30-34,F,16,21,20,57665,14,18.06999969,1,1,F,0.000242782,1.290714264,18.06999969
710571,18-Aug-17,18-Aug-17,916,104220,30-34,F,32,37,38,3091,1,1.610000014,1,1,F,0.00032352,1.610000014,1.610000014
710617,18-Aug-17,18-Aug-17,916,104228,30-34,F,15,19,16,5014,1,1.190000057,1,0,F,0.000199442,1.190000057,0
710623,18-Aug-17,18-Aug-17,916,104229,30-34,F,16,19,20,38726,7,9.220000267,1,0,F,0.000180757,1.317142895,0
710628,17-Aug-17,17-Aug-17,916,104230,30-34,F,18,24,22,1473,0,0,1,0,F,0,0,0
710682,29-Aug-17,29-Aug-17,916,104239,30-34,F,27,33,32,1186,0,0,1,0,F,0,0,0
710763,29-Aug-17,29-Aug-17,916,104252,30-34,F,15,19,17,5369,1,1.50999999,1,0,F,0.000186254,1.50999999,0
710836,27-Aug-17,27-Aug-17,916,104265,30-34,F,29,33,31,22221,7,9.430000067,1,1,F,0.000315017,1.347142867,9.430000067
710867,26-Aug-17,26-Aug-17,916,104270,30-34,F,63,64,68,1185,0,0,1,0,F,0,0,0
710880,26-Aug-17,26-Aug-17,916,104272,30-34,F,65,70,68,13019,5,6.960000038,1,0,F,0.000384054,1.392000008,0
710961,27-Aug-17,27-Aug-17,916,104285,35-39,F,25,29,26,2508,1,1.220000029,1,0,F,0.000398724,1.220000029,0
710968,27-Aug-17,27-Aug-17,916,104287,35-39,F,27,31,29,5864,2,2.799999952,1,1,F,0.000341064,1.399999976,2.799999952
711217,27-Aug-17,27-Aug-17,916,104328,35-39,F,20,26,23,2783,1,1.600000024,1,0,F,0.000359324,1.600000024,0
711623,27-Aug-17,27-Aug-17,916,104396,40-44,F,15,18,20,3812,1,1.129999995,2,1,F,0.000262329,1.129999995,1.129999995
711764,27-Aug-17,27-Aug-17,916,104419,45-49,F,10,16,11,11199,4,5.730000019,1,1,F,0.000357175,1.432500005,5.730000019
711785,26-Aug-17,26-Aug-17,916,104423,45-49,F,19,25,23,292,0,0,1,0,F,0,0,0
711877,26-Aug-17,26-Aug-17,916,104438,45-49,F,63,67,65,17572,7,9.379999995,1,0,F,0.000398361,1.339999999,0
712052,25-Aug-17,25-Aug-17,916,104467,45-49,F,10,13,11,1448,0,0,1,1,F,0,0,0
734209,25-Aug-17,25-Aug-17,936,108654,30-34,M,10,16,14,1772,0,0,1,1,M,0,0,0
734210,25-Aug-17,25-Aug-17,936,108654,30-34,M,10,16,13,13329,4,5.629999995,1,1,M,0.000300098,1.407499999,5.629999995
